index,bookings_cumm,day,next,bookings_daily,flag,ID,state,gender,returning_cust,cabin,discount,sail_date,RRP,booking_date,purcahsed_price,capacity
133,68,-232,66,2,1,Ship3,TAS,F,Yes,MiniSuites_Bow,0.33,11/1/2024,2700,24/5/2023,2699.67,1200
133,68,-232,66,3,1,Ship3,WA,F,Yes,OceanView_Bow,0.31,11/1/2024,2100,24/5/2023,2099.69,1200
134,70,-231,68,2,1,Ship3,NT,M,No,Balcony_Aft,0.34,11/1/2024,700,25/5/2023,699.66,1200
134,70,-231,68,3,1,Ship3,ACT,F,No,MiniSuites_Mid,0.39,11/1/2024,2500,25/5/2023,2499.61,1200
135,72,-230,70,2,1,Ship3,TAS,M,Yes,OceanView_Aft,0.01,11/1/2024,1800,26/5/2023,1799.99,1200
135,72,-230,70,3,1,Ship3,NSW,M,Yes,Balcony_Mid,0.34,11/1/2024,650,26/5/2023,649.66,1200
136,74,-229,72,2,1,Ship3,NT,F,No,OceanView_Bow,0.35,11/1/2024,2100,27/5/2023,2099.65,1200
136,74,-229,72,3,1,Ship3,NSW,M,No,Balcony_Mid,0.07,11/1/2024,650,27/5/2023,649.93,1200
137,76,-228,74,2,1,Ship3,NSW,M,No,OceanView_Aft,0.12,11/1/2024,1800,28/5/2023,1799.88,1200
137,76,-228,74,3,1,Ship3,VIC,M,No,MiniSuites_Bow,0.02,11/1/2024,2700,28/5/2023,2699.98,1200
138,79,-227,76,3,1,Ship3,NSW,M,Yes,Interior_Mid,0.39,11/1/2024,500,29/5/2023,499.61,1200
138,79,-227,76,4,1,Ship3,NT,F,No,Balcony_Mid,0,11/1/2024,650,29/5/2023,650,1200
138,79,-227,76,5,1,Ship3,QLD,F,No,Balcony_Bow,0.06,11/1/2024,750,29/5/2023,749.94,1200
139,81,-226,79,2,1,Ship3,ACT,F,No,Interior_Mid,0.09,11/1/2024,500,30/5/2023,499.91,1200
139,81,-226,79,3,1,Ship3,QLD,M,Yes,Interior_Mid,0.31,11/1/2024,500,30/5/2023,499.69,1200
140,84,-225,81,3,1,Ship3,WA,M,Yes,OceanView_Aft,0.22,11/1/2024,1800,31/5/2023,1799.78,1200
140,84,-225,81,4,1,Ship3,NT,F,No,Suites_Mid,0.02,11/1/2024,900,31/5/2023,899.98,1200
140,84,-225,81,5,1,Ship3,NSW,M,No,Balcony_Aft,0.35,11/1/2024,700,31/5/2023,699.65,1200
141,86,-224,84,2,1,Ship3,QLD,M,No,Interior_Bow,0.07,11/1/2024,600,1/6/2023,599.93,1200
141,86,-224,84,3,1,Ship3,SA,M,Yes,Interior_Aft,0.09,11/1/2024,550,1/6/2023,549.91,1200
142,89,-223,86,3,1,Ship3,TAS,M,No,Suites_Aft,0.23,11/1/2024,1000,2/6/2023,999.77,1200
142,89,-223,86,4,1,Ship3,VIC,M,Yes,Balcony_Bow,0.09,11/1/2024,750,2/6/2023,749.91,1200
142,89,-223,86,5,1,Ship3,QLD,M,No,OceanView_Aft,0.11,11/1/2024,1800,2/6/2023,1799.89,1200
143,92,-222,89,3,1,Ship3,QLD,M,No,OceanView_Aft,0.15,11/1/2024,1800,3/6/2023,1799.85,1200
143,92,-222,89,4,1,Ship3,WA,M,No,Interior_Bow,0.28,11/1/2024,600,3/6/2023,599.72,1200
143,92,-222,89,5,1,Ship3,TAS,F,Yes,Interior_Mid,0.27,11/1/2024,500,3/6/2023,499.73,1200
144,94,-221,92,2,1,Ship3,SA,M,Yes,Balcony_Bow,0.39,11/1/2024,750,4/6/2023,749.61,1200
144,94,-221,92,3,1,Ship3,NSW,F,Yes,Interior_Mid,0.23,11/1/2024,500,4/6/2023,499.77,1200
145,97,-220,94,3,1,Ship3,QLD,M,No,Balcony_Mid,0.19,11/1/2024,650,5/6/2023,649.81,1200
145,97,-220,94,4,1,Ship3,TAS,F,No,OceanView_Aft,0.03,11/1/2024,1800,5/6/2023,1799.97,1200
145,97,-220,94,5,1,Ship3,NSW,F,No,Interior_Bow,0.39,11/1/2024,600,5/6/2023,599.61,1200
146,100,-219,97,3,1,Ship3,SA,M,Yes,Balcony_Bow,0.25,11/1/2024,750,6/6/2023,749.75,1200
146,100,-219,97,4,1,Ship3,QLD,F,Yes,Balcony_Aft,0.03,11/1/2024,700,6/6/2023,699.97,1200
146,100,-219,97,5,1,Ship3,NSW,M,No,OceanView_Mid,0.33,11/1/2024,1500,6/6/2023,1499.67,1200
147,103,-218,100,3,1,Ship3,VIC,F,No,MiniSuites_Bow,0.2,11/1/2024,2700,7/6/2023,2699.8,1200
147,103,-218,100,4,1,Ship3,TAS,M,No,Suites_Bow,0.28,11/1/2024,1100,7/6/2023,1099.72,1200
147,103,-218,100,5,1,Ship3,QLD,M,No,Balcony_Bow,0.12,11/1/2024,750,7/6/2023,749.88,1200
148,106,-217,103,3,1,Ship3,WA,F,No,Interior_Aft,0.23,11/1/2024,550,8/6/2023,549.77,1200
148,106,-217,103,4,1,Ship3,NSW,M,No,OceanView_Mid,0.25,11/1/2024,1500,8/6/2023,1499.75,1200
148,106,-217,103,5,1,Ship3,ACT,M,Yes,Interior_Bow,0.36,11/1/2024,600,8/6/2023,599.64,1200
149,109,-216,106,3,1,Ship3,QLD,F,Yes,Balcony_Aft,0.13,11/1/2024,700,9/6/2023,699.87,1200
149,109,-216,106,4,1,Ship3,NT,F,No,Balcony_Bow,0.21,11/1/2024,750,9/6/2023,749.79,1200
149,109,-216,106,5,1,Ship3,VIC,F,No,Interior_Mid,0.27,11/1/2024,500,9/6/2023,499.73,1200
150,113,-215,109,4,1,Ship3,VIC,F,Yes,OceanView_Mid,0.19,11/1/2024,1500,10/6/2023,1499.81,1200
150,113,-215,109,5,1,Ship3,ACT,F,Yes,Interior_Aft,0.15,11/1/2024,550,10/6/2023,549.85,1200
150,113,-215,109,6,1,Ship3,SA,F,No,Suites_Bow,0.12,11/1/2024,1100,10/6/2023,1099.88,1200
150,113,-215,109,7,1,Ship3,ACT,M,No,PenthouseSuites_Aft,0.21,11/1/2024,3500,10/6/2023,3499.79,1200
151,116,-214,113,3,1,Ship3,WA,M,No,Interior_Aft,0.13,11/1/2024,550,11/6/2023,549.87,1200
151,116,-214,113,4,1,Ship3,VIC,M,No,Interior_Bow,0,11/1/2024,600,11/6/2023,600,1200
151,116,-214,113,5,1,Ship3,WA,M,Yes,OceanView_Mid,0.38,11/1/2024,1500,11/6/2023,1499.62,1200
152,119,-213,116,3,1,Ship3,NT,F,No,Interior_Bow,0,11/1/2024,600,12/6/2023,600,1200
152,119,-213,116,4,1,Ship3,TAS,M,Yes,Balcony_Mid,0.17,11/1/2024,650,12/6/2023,649.83,1200
152,119,-213,116,5,1,Ship3,VIC,F,No,Interior_Aft,0.21,11/1/2024,550,12/6/2023,549.79,1200
153,123,-212,119,4,1,Ship3,QLD,M,Yes,OceanView_Mid,0.36,11/1/2024,1500,13/6/2023,1499.64,1200
153,123,-212,119,5,1,Ship3,WA,F,No,Interior_Mid,0.12,11/1/2024,500,13/6/2023,499.88,1200
153,123,-212,119,6,1,Ship3,VIC,M,Yes,MiniSuites_Mid,0.07,11/1/2024,2500,13/6/2023,2499.93,1200
153,123,-212,119,7,1,Ship3,VIC,F,Yes,PenthouseSuites_Aft,0.11,11/1/2024,3500,13/6/2023,3499.89,1200
154,126,-211,123,3,1,Ship3,SA,M,No,MiniSuites_Mid,0,11/1/2024,2500,14/6/2023,2500,1200
154,126,-211,123,4,1,Ship3,ACT,M,Yes,Interior_Mid,0.38,11/1/2024,500,14/6/2023,499.62,1200
154,126,-211,123,5,1,Ship3,NT,M,No,PenthouseSuites_Aft,0.35,11/1/2024,3500,14/6/2023,3499.65,1200
155,130,-210,126,4,1,Ship3,WA,M,No,Suites_Bow,0.29,11/1/2024,1100,15/6/2023,1099.71,1200
155,130,-210,126,5,1,Ship3,VIC,M,No,Balcony_Bow,0.18,11/1/2024,750,15/6/2023,749.82,1200
155,130,-210,126,6,1,Ship3,TAS,M,No,Interior_Aft,0.25,11/1/2024,550,15/6/2023,549.75,1200
155,130,-210,126,7,1,Ship3,NT,M,No,OceanView_Bow,0.18,11/1/2024,2100,15/6/2023,2099.82,1200
156,134,-209,130,4,1,Ship3,VIC,F,No,Interior_Bow,0.29,11/1/2024,600,16/6/2023,599.71,1200
156,134,-209,130,5,1,Ship3,ACT,M,No,OceanView_Mid,0.28,11/1/2024,1500,16/6/2023,1499.72,1200
156,134,-209,130,6,1,Ship3,NT,M,No,Interior_Aft,0.01,11/1/2024,550,16/6/2023,549.99,1200
156,134,-209,130,7,1,Ship3,VIC,M,No,Interior_Bow,0.3,11/1/2024,600,16/6/2023,599.7,1200
157,138,-208,134,4,1,Ship3,WA,M,No,MiniSuites_Mid,0.15,11/1/2024,2500,17/6/2023,2499.85,1200
157,138,-208,134,5,1,Ship3,QLD,F,No,Balcony_Mid,0.07,11/1/2024,650,17/6/2023,649.93,1200
157,138,-208,134,6,1,Ship3,WA,F,Yes,MiniSuites_Bow,0.03,11/1/2024,2700,17/6/2023,2699.97,1200
157,138,-208,134,7,1,Ship3,QLD,F,No,Balcony_Aft,0.34,11/1/2024,700,17/6/2023,699.66,1200
158,142,-207,138,4,1,Ship3,SA,M,Yes,Suites_Aft,0.38,11/1/2024,1000,18/6/2023,999.62,1200
158,142,-207,138,5,1,Ship3,QLD,F,No,Balcony_Mid,0.26,11/1/2024,650,18/6/2023,649.74,1200
158,142,-207,138,6,1,Ship3,TAS,M,No,Balcony_Bow,0.31,11/1/2024,750,18/6/2023,749.69,1200
158,142,-207,138,7,1,Ship3,TAS,F,No,OceanView_Aft,0.01,11/1/2024,1800,18/6/2023,1799.99,1200
159,146,-206,142,4,1,Ship3,NT,F,No,Balcony_Aft,0.21,11/1/2024,700,19/6/2023,699.79,1200
159,146,-206,142,5,1,Ship3,ACT,F,No,Balcony_Aft,0.25,11/1/2024,700,19/6/2023,699.75,1200
159,146,-206,142,6,1,Ship3,WA,M,No,MiniSuites_Bow,0.11,11/1/2024,2700,19/6/2023,2699.89,1200
159,146,-206,142,7,1,Ship3,VIC,F,No,OceanView_Mid,0.33,11/1/2024,1500,19/6/2023,1499.67,1200
160,150,-205,146,4,1,Ship3,TAS,M,No,OceanView_Aft,0.36,11/1/2024,1800,20/6/2023,1799.64,1200
160,150,-205,146,5,1,Ship3,NT,M,No,Balcony_Bow,0.03,11/1/2024,750,20/6/2023,749.97,1200
160,150,-205,146,6,1,Ship3,NT,M,No,OceanView_Bow,0.3,11/1/2024,2100,20/6/2023,2099.7,1200
160,150,-205,146,7,1,Ship3,TAS,M,No,Balcony_Mid,0.03,11/1/2024,650,20/6/2023,649.97,1200
161,154,-204,150,4,1,Ship3,ACT,M,No,Interior_Bow,0.39,11/1/2024,600,21/6/2023,599.61,1200
161,154,-204,150,5,1,Ship3,SA,M,No,Balcony_Aft,0.23,11/1/2024,700,21/6/2023,699.77,1200
161,154,-204,150,6,1,Ship3,ACT,M,Yes,Suites_Aft,0.33,11/1/2024,1000,21/6/2023,999.67,1200
161,154,-204,150,7,1,Ship3,SA,F,No,Suites_Bow,0.11,11/1/2024,1100,21/6/2023,1099.89,1200
162,158,-203,154,4,1,Ship3,VIC,F,No,MiniSuites_Mid,0.08,11/1/2024,2500,22/6/2023,2499.92,1200
162,158,-203,154,5,1,Ship3,VIC,M,Yes,Suites_Mid,0.32,11/1/2024,900,22/6/2023,899.68,1200
162,158,-203,154,6,1,Ship3,NT,M,No,Suites_Aft,0.32,11/1/2024,1000,22/6/2023,999.68,1200
162,158,-203,154,7,1,Ship3,NSW,M,No,Balcony_Mid,0.13,11/1/2024,650,22/6/2023,649.87,1200
163,163,-202,158,5,1,Ship3,NT,M,No,Balcony_Mid,0.16,11/1/2024,650,23/6/2023,649.84,1200
163,163,-202,158,6,1,Ship3,NSW,M,No,Interior_Bow,0.25,11/1/2024,600,23/6/2023,599.75,1200
163,163,-202,158,7,1,Ship3,WA,M,No,Interior_Mid,0.27,11/1/2024,500,23/6/2023,499.73,1200
163,163,-202,158,8,1,Ship3,WA,M,No,Interior_Aft,0.38,11/1/2024,550,23/6/2023,549.62,1200
163,163,-202,158,9,1,Ship3,QLD,M,No,OceanView_Mid,0.38,11/1/2024,1500,23/6/2023,1499.62,1200
164,167,-201,163,4,1,Ship3,QLD,F,No,MiniSuites_Bow,0.23,11/1/2024,2700,24/6/2023,2699.77,1200
164,167,-201,163,5,1,Ship3,ACT,F,No,Balcony_Mid,0.22,11/1/2024,650,24/6/2023,649.78,1200
164,167,-201,163,6,1,Ship3,WA,M,No,OceanView_Bow,0.12,11/1/2024,2100,24/6/2023,2099.88,1200
164,167,-201,163,7,1,Ship3,TAS,M,Yes,Interior_Bow,0.26,11/1/2024,600,24/6/2023,599.74,1200
165,172,-200,167,5,1,Ship3,NT,M,No,OceanView_Bow,0.03,11/1/2024,2100,25/6/2023,2099.97,1200
165,172,-200,167,6,1,Ship3,NSW,F,No,Interior_Bow,0.35,11/1/2024,600,25/6/2023,599.65,1200
165,172,-200,167,7,1,Ship3,NT,F,No,Suites_Bow,0.26,11/1/2024,1100,25/6/2023,1099.74,1200
165,172,-200,167,8,1,Ship3,NT,F,No,Interior_Aft,0.13,11/1/2024,550,25/6/2023,549.87,1200
165,172,-200,167,9,1,Ship3,QLD,M,No,OceanView_Mid,0.15,11/1/2024,1500,25/6/2023,1499.85,1200
166,177,-199,172,5,1,Ship3,SA,F,Yes,OceanView_Bow,0.18,11/1/2024,2100,26/6/2023,2099.82,1200
166,177,-199,172,6,1,Ship3,ACT,F,No,OceanView_Aft,0.18,11/1/2024,1800,26/6/2023,1799.82,1200
166,177,-199,172,7,1,Ship3,QLD,M,No,OceanView_Aft,0.39,11/1/2024,1800,26/6/2023,1799.61,1200
166,177,-199,172,8,1,Ship3,ACT,M,Yes,Balcony_Aft,0.25,11/1/2024,700,26/6/2023,699.75,1200
166,177,-199,172,9,1,Ship3,NSW,F,Yes,Interior_Mid,0.38,11/1/2024,500,26/6/2023,499.62,1200
167,182,-198,177,5,1,Ship3,NSW,M,No,Balcony_Aft,0.37,11/1/2024,700,27/6/2023,699.63,1200
167,182,-198,177,6,1,Ship3,NT,M,No,OceanView_Aft,0.2,11/1/2024,1800,27/6/2023,1799.8,1200
167,182,-198,177,7,1,Ship3,NSW,F,No,Balcony_Bow,0.21,11/1/2024,750,27/6/2023,749.79,1200
167,182,-198,177,8,1,Ship3,TAS,M,No,OceanView_Aft,0.25,11/1/2024,1800,27/6/2023,1799.75,1200
167,182,-198,177,9,1,Ship3,WA,M,Yes,MiniSuites_Mid,0.06,11/1/2024,2500,27/6/2023,2499.94,1200
168,187,-197,182,5,1,Ship3,VIC,M,No,Interior_Bow,0.37,11/1/2024,600,28/6/2023,599.63,1200
168,187,-197,182,6,1,Ship3,WA,F,Yes,OceanView_Aft,0.13,11/1/2024,1800,28/6/2023,1799.87,1200
168,187,-197,182,7,1,Ship3,NSW,M,No,OceanView_Mid,0.24,11/1/2024,1500,28/6/2023,1499.76,1200
168,187,-197,182,8,1,Ship3,QLD,M,Yes,MiniSuites_Mid,0.3,11/1/2024,2500,28/6/2023,2499.7,1200
168,187,-197,182,9,1,Ship3,NSW,M,Yes,Interior_Mid,0.28,11/1/2024,500,28/6/2023,499.72,1200
169,192,-196,187,5,1,Ship3,WA,F,Yes,OceanView_Aft,0.1,11/1/2024,1800,29/6/2023,1799.9,1200
169,192,-196,187,6,1,Ship3,NSW,F,No,Balcony_Bow,0.2,11/1/2024,750,29/6/2023,749.8,1200
169,192,-196,187,7,1,Ship3,QLD,M,No,Interior_Aft,0.21,11/1/2024,550,29/6/2023,549.79,1200
169,192,-196,187,8,1,Ship3,VIC,F,No,MiniSuites_Bow,0.26,11/1/2024,2700,29/6/2023,2699.74,1200
169,192,-196,187,9,1,Ship3,SA,M,No,Balcony_Aft,0.27,11/1/2024,700,29/6/2023,699.73,1200
170,197,-195,192,5,1,Ship3,ACT,F,No,MiniSuites_Mid,0.23,11/1/2024,2500,30/6/2023,2499.77,1200
170,197,-195,192,6,1,Ship3,TAS,M,No,Balcony_Bow,0.14,11/1/2024,750,30/6/2023,749.86,1200
170,197,-195,192,7,1,Ship3,SA,F,Yes,Interior_Aft,0.15,11/1/2024,550,30/6/2023,549.85,1200
170,197,-195,192,8,1,Ship3,NSW,F,Yes,Balcony_Mid,0.2,11/1/2024,650,30/6/2023,649.8,1200
170,197,-195,192,9,1,Ship3,VIC,F,No,OceanView_Mid,0.22,11/1/2024,1500,30/6/2023,1499.78,1200
171,202,-194,197,5,1,Ship3,ACT,M,No,Balcony_Mid,0.24,11/1/2024,650,1/7/2023,649.76,1200
171,202,-194,197,6,1,Ship3,ACT,M,No,OceanView_Mid,0.09,11/1/2024,1500,1/7/2023,1499.91,1200
171,202,-194,197,7,1,Ship3,QLD,F,No,MiniSuites_Mid,0.24,11/1/2024,2500,1/7/2023,2499.76,1200
171,202,-194,197,8,1,Ship3,VIC,M,No,OceanView_Aft,0.07,11/1/2024,1800,1/7/2023,1799.93,1200
171,202,-194,197,9,1,Ship3,NSW,M,No,Interior_Aft,0.19,11/1/2024,550,1/7/2023,549.81,1200
172,207,-193,202,5,1,Ship3,SA,M,No,MiniSuites_Bow,0.15,11/1/2024,2700,2/7/2023,2699.85,1200
172,207,-193,202,6,1,Ship3,VIC,M,Yes,OceanView_Bow,0.2,11/1/2024,2100,2/7/2023,2099.8,1200
172,207,-193,202,7,1,Ship3,TAS,F,Yes,Interior_Bow,0.26,11/1/2024,600,2/7/2023,599.74,1200
172,207,-193,202,8,1,Ship3,WA,F,No,Interior_Aft,0.29,11/1/2024,550,2/7/2023,549.71,1200
172,207,-193,202,9,1,Ship3,SA,M,No,OceanView_Mid,0.38,11/1/2024,1500,2/7/2023,1499.62,1200
173,213,-192,207,6,1,Ship3,NT,M,No,MiniSuites_Bow,0.3,11/1/2024,2700,3/7/2023,2699.7,1200
173,213,-192,207,7,1,Ship3,QLD,F,No,Interior_Bow,0.02,11/1/2024,600,3/7/2023,599.98,1200
173,213,-192,207,8,1,Ship3,VIC,F,No,Balcony_Mid,0.36,11/1/2024,650,3/7/2023,649.64,1200
173,213,-192,207,9,1,Ship3,SA,M,No,Balcony_Aft,0.39,11/1/2024,700,3/7/2023,699.61,1200
173,213,-192,207,10,1,Ship3,NT,F,Yes,Balcony_Bow,0.23,11/1/2024,750,3/7/2023,749.77,1200
173,213,-192,207,11,1,Ship3,NSW,M,No,OceanView_Bow,0.15,11/1/2024,2100,3/7/2023,2099.85,1200
174,218,-191,213,5,1,Ship3,ACT,M,No,Balcony_Aft,0.29,11/1/2024,700,4/7/2023,699.71,1200
174,218,-191,213,6,1,Ship3,NT,F,No,Interior_Mid,0.15,11/1/2024,500,4/7/2023,499.85,1200
174,218,-191,213,7,1,Ship3,ACT,F,Yes,Balcony_Bow,0.2,11/1/2024,750,4/7/2023,749.8,1200
174,218,-191,213,8,1,Ship3,SA,M,No,Interior_Aft,0.3,11/1/2024,550,4/7/2023,549.7,1200
174,218,-191,213,9,1,Ship3,SA,M,No,OceanView_Aft,0.35,11/1/2024,1800,4/7/2023,1799.65,1200
175,224,-190,218,6,1,Ship3,NSW,M,No,Interior_Aft,0.34,11/1/2024,550,5/7/2023,549.66,1200
175,224,-190,218,7,1,Ship3,VIC,M,No,Interior_Mid,0.16,11/1/2024,500,5/7/2023,499.84,1200
